feature	depth	subcategory	count
PSI	50	Low	127451
PSI	50	Medium	118352
PSI	50	High	129272
PSI	100	Low	162003
PSI	100	Medium	151180
PSI	100	High	160795
PSI	150	Low	179044
PSI	150	Medium	173349
PSI	150	High	177761
PSI	200	Low	192099
PSI	200	Medium	191455
PSI	200	High	190481
PSI	250	Low	201044
PSI	250	Medium	209594
PSI	250	High	201298
PSI	300	Low	209281
PSI	300	Medium	226992
PSI	300	High	211316
GC_content	50	Low	124543
GC_content	50	Medium	124781
GC_content	50	High	125177
GC_content	100	Low	158311
GC_content	100	Medium	157539
GC_content	100	High	157216
GC_content	150	Low	176476
GC_content	150	Medium	176149
GC_content	150	High	176289
GC_content	200	Low	190947
GC_content	200	Medium	190807
GC_content	200	High	190786
GC_content	250	Low	203473
GC_content	250	Medium	203232
GC_content	250	High	203443
GC_content	300	Low	215087
GC_content	300	Medium	215093
GC_content	300	High	215305
Compactness	50	Low	116452
Compactness	50	Medium	125994
Compactness	50	High	132055
Compactness	100	Low	153338
Compactness	100	Medium	158988
Compactness	100	High	160740
Compactness	150	Low	175340
Compactness	150	Medium	176898
Compactness	150	High	176676
Compactness	200	Low	192927
Compactness	200	Medium	190537
Compactness	200	High	189076
Compactness	250	Low	208035
Compactness	250	Medium	202179
Compactness	250	High	199934
Compactness	300	Low	222574
Compactness	300	Medium	213226
Compactness	300	High	209685
TPM	50	Low	89421
TPM	50	Medium	131246
TPM	50	High	154408
TPM	100	Low	141224
TPM	100	Medium	165673
TPM	100	High	167081
TPM	150	Low	174723
TPM	150	Medium	179913
TPM	150	High	175518
TPM	200	Low	200924
TPM	200	Medium	189771
TPM	200	High	183340
TPM	250	Low	222561
TPM	250	Medium	198083
TPM	250	High	191292
TPM	300	Low	242247
TPM	300	Medium	206098
TPM	300	High	199244
Gene_type	50	Other	611
Gene_type	50	Protein_coding	362419
Gene_type	50	Pseudogene	1589
Gene_type	50	lncRNA	10456
Gene_type	100	Other	953
Gene_type	100	Protein_coding	452277
Gene_type	100	Pseudogene	3534
Gene_type	100	lncRNA	17214
Gene_type	150	Other	1286
Gene_type	150	Protein_coding	501525
Gene_type	150	Pseudogene	4924
Gene_type	150	lncRNA	22419
Gene_type	200	Other	1551
Gene_type	200	Protein_coding	539370
Gene_type	200	Pseudogene	6253
Gene_type	200	lncRNA	26861
Gene_type	250	Other	1860
Gene_type	250	Protein_coding	571662
Gene_type	250	Pseudogene	7412
Gene_type	250	lncRNA	31002
Gene_type	300	Other	2196
Gene_type	300	Protein_coding	601883
Gene_type	300	Pseudogene	8582
Gene_type	300	lncRNA	34928
Region	50	3UTR	4233
Region	50	5UTR	42735
Region	50	CDS	315373
Region	100	3UTR	5792
Region	100	5UTR	57361
Region	100	CDS	388765
Region	150	3UTR	6822
Region	150	5UTR	65623
Region	150	CDS	428503
Region	200	3UTR	7700
Region	200	5UTR	71788
Region	200	CDS	459111
Region	250	3UTR	8531
Region	250	5UTR	76885
Region	250	CDS	485265
Region	300	3UTR	9375
Region	300	5UTR	81262
Region	300	CDS	510054
Is_heart_specific	50	False	372546
Is_heart_specific	50	True	2529
Is_heart_specific	100	False	470707
Is_heart_specific	100	True	3271
Is_heart_specific	150	False	526294
Is_heart_specific	150	True	3860
Is_heart_specific	200	False	569662
Is_heart_specific	200	True	4373
Is_heart_specific	250	False	607077
Is_heart_specific	250	True	4859
Is_heart_specific	300	False	642277
Is_heart_specific	300	True	5312
Is_fast_evolving	50	False	351611
Is_fast_evolving	50	True	23464
Is_fast_evolving	100	False	442966
Is_fast_evolving	100	True	31012
Is_fast_evolving	150	False	494584
Is_fast_evolving	150	True	35570
Is_fast_evolving	200	False	534552
Is_fast_evolving	200	True	39483
Is_fast_evolving	250	False	569209
Is_fast_evolving	250	True	42727
Is_fast_evolving	300	False	601773
Is_fast_evolving	300	True	45816
