dataset	kind	category	total
sars_cov_2	genes	0-0.1	6149
hypothalamus	genes	0-0.1	10303
adipose_pre	genes	0-0.1	11863
adipose_post	genes	0-0.1	12010
heart_dcm	genes	0-0.1	13436
sars_cov_2	genes	0.1-0.5	4213
hypothalamus	genes	0.1-0.5	6179
adipose_pre	genes	0.1-0.5	5394
adipose_post	genes	0.1-0.5	5249
heart_dcm	genes	0.1-0.5	4889
sars_cov_2	genes	0.5-1	2006
hypothalamus	genes	0.5-1	2825
adipose_pre	genes	0.5-1	2380
adipose_post	genes	0.5-1	2204
heart_dcm	genes	0.5-1	2187
sars_cov_2	genes	1-10	7254
hypothalamus	genes	1-10	8771
adipose_pre	genes	1-10	5568
adipose_post	genes	1-10	4586
heart_dcm	genes	1-10	4967
sars_cov_2	genes	10-inf	5112
hypothalamus	genes	10-inf	3203
adipose_pre	genes	10-inf	1959
adipose_post	genes	10-inf	1580
heart_dcm	genes	10-inf	1307
sars_cov_2	junctions	0-0.1	24302
hypothalamus	junctions	0-0.1	55356
adipose_pre	junctions	0-0.1	54227
adipose_post	junctions	0-0.1	63026
heart_dcm	junctions	0-0.1	107673
sars_cov_2	junctions	0.1-0.5	32095
hypothalamus	junctions	0.1-0.5	70978
adipose_pre	junctions	0.1-0.5	58738
adipose_post	junctions	0.1-0.5	68798
heart_dcm	junctions	0.1-0.5	95009
sars_cov_2	junctions	0.5-1	21823
hypothalamus	junctions	0.5-1	45310
adipose_pre	junctions	0.5-1	28151
adipose_post	junctions	0.5-1	38621
heart_dcm	junctions	0.5-1	52799
sars_cov_2	junctions	1-10	144588
hypothalamus	junctions	1-10	178510
adipose_pre	junctions	1-10	63872
adipose_post	junctions	1-10	101345
heart_dcm	junctions	1-10	120282
sars_cov_2	junctions	10-inf	154833
hypothalamus	junctions	10-inf	66807
adipose_pre	junctions	10-inf	26405
adipose_post	junctions	10-inf	40517
heart_dcm	junctions	10-inf	29891
