kind	category	at 60M	at 60M, %	at 150M	at 150M, %	60M->70M	60M->70M, %	70M->80M	70M->80M, %	80M->90M	80M->90M, %	90M->100M	90M->100M, %	100M->110M	100M->110M, %	110M->120M	110M->120M, %	120M->130M	120M->130M, %	130M->140M	130M->140M, %	140M->150M	140M->150M, %
genes	0<=TPM<0.1	1286.75	20.93	1932.5	31.43	161.25	2.62	19.86	0.32	63.37	1.03	25.4	0.41	132.62	2.16	91.15	1.48	-56.97	-0.93	43.9	0.71	165.17	2.69
genes	0.1<=TPM<0.5	498.0	11.82	933.5	22.16	105.4	2.5	-14.75	-0.35	54.29	1.29	19.43	0.46	107.38	2.55	48.11	1.14	-19.57	-0.46	6.88	0.16	128.33	3.05
genes	0.5<=TPM<1	416.0	20.74	715.0	35.64	104.67	5.22	-7.88	-0.39	29.5	1.47	10.85	0.54	77.88	3.88	25.69	1.28	-13.41	-0.67	3.21	0.16	68.5	3.41
genes	1<=TPM<10	3671.75	50.62	4706.5	64.88	473.45	6.53	-25.46	-0.35	97.54	1.34	27.35	0.38	214.12	2.95	77.18	1.06	-31.36	-0.43	-30.24	-0.42	232.17	3.2
genes	10<=TPM<inf	4048.25	79.19	4306.0	84.23	134.86	2.64	16.84	0.33	19.66	0.38	5.39	0.11	28.75	0.56	25.46	0.5	-29.93	-0.59	19.38	0.38	37.33	0.73
junctions	0<=TPM<0.1	6283.25	25.85	10831.5	44.57	716.15	2.95	348.21	1.43	383.61	1.58	528.03	2.17	1016.5	4.18	673.72	2.77	-521.9	-2.15	686.43	2.82	717.5	2.95
junctions	0.1<=TPM<0.5	2407.0	7.5	5402.5	16.83	429.4	1.34	90.3	0.28	304.42	0.95	272.14	0.85	786.5	2.45	458.92	1.43	-388.81	-1.21	439.98	1.37	602.67	1.88
junctions	0.5<=TPM<1	2212.75	10.14	4736.5	21.7	444.75	2.04	92.72	0.42	185.55	0.85	174.24	0.8	948.25	4.35	368.68	1.69	-418.08	-1.92	312.64	1.43	415.0	1.9
junctions	1<=TPM<10	25612.5	17.71	41997.0	29.05	3267.7	2.26	1491.15	1.03	1043.32	0.72	1582.96	1.09	5902.88	4.08	2393.7	1.66	-3573.63	-2.47	2731.93	1.89	1544.5	1.07
junctions	10<=TPM<inf	33105.5	21.38	43005.5	27.78	767.3	0.5	3083.72	1.99	-321.24	-0.21	2191.47	1.42	2685.5	1.73	1760.22	1.14	-3023.47	-1.95	3586.83	2.32	-830.33	-0.54
