kind	scope	category	at 50M	at 50M, %	at 300M	at 300M, %	50->100M	50->100M, %	100->150M	100->150M, %	150->200M	150->200M, %	200->250M	200->250M, %	250->300M	250->300M, %
genes	In 100 subsamples	0<=TPM<0.1	891.0	6.63	2894.25	21.54	588.25	4.38	441.25	3.28	381.0	2.84	301.0	2.24	291.75	2.17
genes	In 100 subsamples	0.1<=TPM<0.5	1014.25	20.75	2526.5	51.68	680.5	13.92	348.25	7.12	223.0	4.56	142.5	2.91	118.0	2.41
genes	In 100 subsamples	0.5<=TPM<1	856.75	39.17	1436.0	65.66	281.75	12.88	127.25	5.82	80.25	3.67	48.25	2.21	41.75	1.91
genes	In 100 subsamples	1<=TPM<10	2415.75	48.64	3290.25	66.24	400.0	8.05	180.5	3.63	121.25	2.44	100.5	2.02	72.25	1.45
genes	In 100 subsamples	10<=TPM<inf	631.5	48.32	887.75	67.92	94.25	7.21	55.75	4.27	43.75	3.35	33.0	2.52	29.5	2.26
genes	In at least one subsample	0<=TPM<0.1	2571.25	19.14	4392.0	32.69	779.25	5.8	435.75	3.24	271.75	2.02	215.0	1.6	119.0	0.89
genes	In at least one subsample	0.1<=TPM<0.5	2483.5	50.8	2954.25	60.43	279.25	5.71	111.0	2.27	47.0	0.96	16.5	0.34	17.0	0.35
genes	In at least one subsample	0.5<=TPM<1	1453.25	66.45	1552.75	71.0	65.0	2.97	16.5	0.75	8.75	0.4	5.25	0.24	4.0	0.18
genes	In at least one subsample	1<=TPM<10	3267.0	65.77	3490.25	70.27	78.5	1.58	43.5	0.88	41.0	0.83	36.75	0.74	23.5	0.47
genes	In at least one subsample	10<=TPM<inf	752.75	57.59	926.5	70.89	75.5	5.78	36.0	2.75	27.75	2.12	18.75	1.43	15.75	1.21
junctions	In 100 subsamples	0<=TPM<0.1	2799.0	2.6	12279.75	11.4	2318.75	2.15	2017.75	1.87	1851.0	1.72	1671.0	1.55	1622.25	1.51
junctions	In 100 subsamples	0.1<=TPM<0.5	3620.25	3.81	13761.75	14.48	3466.0	3.65	2290.0	2.41	1724.5	1.82	1463.5	1.54	1197.5	1.26
junctions	In 100 subsamples	0.5<=TPM<1	3272.75	6.2	7545.25	14.29	1748.5	3.31	920.25	1.74	645.25	1.22	511.75	0.97	446.75	0.85
junctions	In 100 subsamples	1<=TPM<10	9208.25	7.66	15391.0	12.8	2407.25	2.0	1278.25	1.06	973.25	0.81	825.0	0.69	699.0	0.58
junctions	In 100 subsamples	10<=TPM<inf	1979.0	6.62	3169.0	10.6	362.0	1.21	263.5	0.88	211.25	0.71	183.25	0.61	170.0	0.57
junctions	In at least one subsample	0<=TPM<0.1	10930.0	10.15	23215.75	21.56	5206.5	4.84	3138.75	2.92	1911.75	1.78	1293.5	1.2	735.25	0.68
junctions	In at least one subsample	0.1<=TPM<0.5	13854.5	14.58	20283.25	21.35	4321.75	4.55	1578.75	1.66	494.75	0.52	82.75	0.09	-49.25	-0.05
junctions	In at least one subsample	0.5<=TPM<1	8416.0	15.94	9593.75	18.17	1332.0	2.52	154.75	0.29	-99.75	-0.19	-112.75	-0.21	-96.5	-0.18
junctions	In at least one subsample	1<=TPM<10	16672.0	13.86	18135.25	15.08	902.25	0.75	232.25	0.19	120.0	0.1	89.25	0.07	119.5	0.1
junctions	In at least one subsample	10<=TPM<inf	2649.25	8.86	3602.75	12.05	336.25	1.12	224.5	0.75	160.75	0.54	127.25	0.43	104.75	0.35
