dataset	sample	kind	scope	category	slope	p	trend
Heart (DCM)	J26675	genes	in at least one	0<=TPM<0.1	304.6666666666667	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in 100	0<=TPM<0.1	394.0	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in at least one	0<=TPM<0.1	2188.3333333333335	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in 100	0<=TPM<0.1	1933.0	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in at least one	0.1<=TPM<0.5	41.666666666666664	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in 100	0.1<=TPM<0.5	236.66666666666666	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in at least one	0.1<=TPM<0.5	622.3333333333334	0.13285495573105388	no trend
Heart (DCM)	J26675	junctions	in 100	0.1<=TPM<0.5	1865.0	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in at least one	0.5<=TPM<1	11.0	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in 100	0.5<=TPM<1	82.0	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in at least one	0.5<=TPM<1	10.0	0.7071142312899612	no trend
Heart (DCM)	J26675	junctions	in 100	0.5<=TPM<1	625.0	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in at least one	1<=TPM<10	44.0	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in 100	1<=TPM<10	129.33333333333334	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in at least one	1<=TPM<10	162.0	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in 100	1<=TPM<10	932.0	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in at least one	10<=TPM<inf	25.0	0.008534920414227098	increasing
Heart (DCM)	J26675	genes	in 100	10<=TPM<inf	40.666666666666664	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in at least one	10<=TPM<inf	158.33333333333334	0.008534920414227098	increasing
Heart (DCM)	J26675	junctions	in 100	10<=TPM<inf	204.0	0.008534920414227098	increasing
Heart (DCM)	J26676	genes	in at least one	0<=TPM<0.1	310.6666666666667	0.008534920414227098	increasing
Heart (DCM)	J26676	genes	in 100	0<=TPM<0.1	379.6666666666667	0.008534920414227098	increasing
Heart (DCM)	J26676	junctions	in at least one	0<=TPM<0.1	2141.3333333333335	0.008534920414227098	increasing
Heart (DCM)	J26676	junctions	in 100	0<=TPM<0.1	1925.4	0.008534920414227098	increasing
