kind	scope	category	at 50M	at 50M, %	at 300M	at 300M, %	50->100M	50->100M, %	100->150M	100->150M, %	150->200M	150->200M, %	200->250M	200->250M, %	250->300M	250->300M, %
genes	In 100 subsamples	0<=TPM<0.1	766	6.38	2075	17.28	444	3.7	310	2.58	232	1.93	179	1.49	144	1.2
genes	In 100 subsamples	0.1<=TPM<0.5	653	12.44	1948	37.11	487	9.28	328	6.25	208	3.96	138	2.63	134	2.55
genes	In 100 subsamples	0.5<=TPM<1	510	23.14	1078	48.91	255	11.57	135	6.13	88	3.99	51	2.31	39	1.77
genes	In 100 subsamples	1<=TPM<10	1892	41.26	2751	59.99	438	9.55	190	4.14	102	2.22	79	1.72	50	1.09
genes	In 100 subsamples	10<=TPM<inf	780	49.37	1006	63.67	106	6.71	44	2.78	39	2.47	17	1.08	20	1.27
genes	In at least one subsample	0<=TPM<0.1	2066	17.2	2791	23.24	513	4.27	194	1.62	59	0.49	-3	-0.02	-38	-0.32
genes	In at least one subsample	0.1<=TPM<0.5	1963	37.4	2383	45.4	377	7.18	69	1.31	12	0.23	-9	-0.17	-29	-0.55
genes	In at least one subsample	0.5<=TPM<1	1150	52.18	1229	55.76	111	5.04	4	0.18	-14	-0.64	-5	-0.23	-17	-0.77
genes	In at least one subsample	1<=TPM<10	2900	63.24	2926	63.8	75	1.64	6	0.13	-16	-0.35	-14	-0.31	-25	-0.55
genes	In at least one subsample	10<=TPM<inf	975	61.71	1035	65.51	46	2.91	13	0.82	-1	-0.06	1	0.06	1	0.06
junctions	In 100 subsamples	0<=TPM<0.1	2062	3.27	6930	11.0	1438	2.28	1138	1.81	937	1.49	676	1.07	679	1.08
junctions	In 100 subsamples	0.1<=TPM<0.5	1934	2.81	8302	12.07	1949	2.83	1505	2.19	1238	1.8	871	1.27	805	1.17
junctions	In 100 subsamples	0.5<=TPM<1	1605	4.16	4833	12.51	1161	3.01	750	1.94	540	1.4	415	1.07	362	0.94
junctions	In 100 subsamples	1<=TPM<10	6301	6.22	11886	11.73	2317	2.29	1188	1.17	882	0.87	638	0.63	560	0.55
junctions	In 100 subsamples	10<=TPM<inf	2491	6.15	3883	9.58	447	1.1	301	0.74	263	0.65	184	0.45	197	0.49
junctions	In at least one subsample	0<=TPM<0.1	6889	10.93	10349	16.42	2454	3.89	975	1.55	277	0.44	-64	-0.1	-182	-0.29
junctions	In at least one subsample	0.1<=TPM<0.5	8221	11.95	11794	17.14	2959	4.3	847	1.23	240	0.35	-153	-0.22	-320	-0.47
junctions	In at least one subsample	0.5<=TPM<1	5150	13.33	6153	15.93	1196	3.1	192	0.5	-119	-0.31	-117	-0.3	-149	-0.39
junctions	In at least one subsample	1<=TPM<10	13327	13.15	13701	13.52	1071	1.06	-17	-0.02	-218	-0.22	-285	-0.28	-177	-0.17
junctions	In at least one subsample	10<=TPM<inf	3918	9.67	4566	11.27	450	1.11	172	0.42	44	0.11	-13	-0.03	-5	-0.01
