gene_id	gene_length	compactness	Gene % GC content
ENSG00000000003	12884	0.3515988823346787	40.4
ENSG00000000005	14950	0.0987290969899665	40.78
ENSG00000000419	24274	0.3821372662107605	40.2
ENSG00000000457	44637	0.1541994309653426	40.14
ENSG00000000460	192074	0.0310817705675937	39.22
ENSG00000000938	23122	0.1462676239079664	52.92
ENSG00000000971	100723	0.1517428988413768	35.08
ENSG00000001036	16909	0.1668933703944644	39.72
ENSG00000001084	119630	0.0720387862576276	40.16
ENSG00000001167	29430	0.2109751953788651	40.69
ENSG00000001460	59936	0.1420014682327816	44.09
ENSG00000001461	60934	0.2158893228739291	44.7
ENSG00000001497	96262	0.1304252976252311	42.78
ENSG00000001561	16700	0.2780838323353293	36.05
ENSG00000001617	34031	0.1418118774058946	57.74
ENSG00000001626	428852	0.0392233217986624	36.9
ENSG00000001629	155410	0.0475452030113892	36.83
ENSG00000001630	49817	0.0837264387658831	38.33
ENSG00000001631	48669	0.4337463272308862	36.51
ENSG00000002016	78318	0.0574963609898107	45.19
ENSG00000002330	14875	0.1148235294117647	53.92
ENSG00000002549	30775	0.1227944760357433	44.16
ENSG00000002586	50123	0.0969215729305907	47.38
ENSG00000002587	36415	0.2041741040779898	43.92
ENSG00000002726	36878	0.1026628342100981	47.8
ENSG00000002745	15738	0.2073961113229127	38.61
ENSG00000002746	453373	0.0307362811636334	42.03
ENSG00000002822	417451	0.0166606380150005	55.65
ENSG00000002834	51912	0.136018646940977	53.69
ENSG00000002919	20245	0.2041491726352185	48.03
ENSG00000002933	4716	0.7372773536895675	57.55
ENSG00000003056	9401	0.3813424103818743	42.37
ENSG00000003096	219528	0.0315586166684887	36.56
ENSG00000003137	18625	0.2598120805369127	59.85
ENSG00000003147	149504	0.0326613334760274	40.3
ENSG00000003249	15020	0.2970705725699067	59.3
ENSG00000003393	81846	0.4094641155340517	38.18
ENSG00000003400	46557	0.1915931009300427	42.31
ENSG00000003402	60534	0.3713285095979119	44.35
ENSG00000003436	101531	0.1153736297288512	36.6
ENSG00000003509	21773	0.1676847471639186	38.97
ENSG00000003756	30103	0.3440520878317775	44.45
ENSG00000003987	116735	0.0593480961151325	40.26
ENSG00000003989	73486	0.1075715102196336	40.13
ENSG00000004059	3315	0.55052790346908	56.14
ENSG00000004139	39694	0.2797652038091399	51.55
ENSG00000004142	10895	0.2450665442863699	49.87
ENSG00000004399	51463	0.1857062355478693	58.3
ENSG00000004455	73011	0.2460862061881086	46.32
ENSG00000004468	74958	0.0914778942874676	41.09
ENSG00000004478	10454	0.4938779414578152	51.53
ENSG00000004487	64247	0.285227325789531	39.17
ENSG00000004534	160039	0.0456076331394222	44.14
ENSG00000004660	34577	0.2149694883882349	57.17
ENSG00000004700	32760	0.1153540903540903	37.57
ENSG00000004766	128784	0.074225059013542	34.82
ENSG00000004776	3514	0.4906089926010245	62.52
ENSG00000004777	14291	0.3680638163879364	60.93
ENSG00000004779	15303	0.1011566359537345	48.72
ENSG00000004799	13018	0.3490551544015978	36.08
ENSG00000004809	51955	0.0751996920411895	41.33
ENSG00000004838	4623	0.6249188838416613	58.49
ENSG00000004846	161372	0.0545075973527005	37.72
ENSG00000004848	12727	0.2446766716429637	54.62
ENSG00000004864	201928	0.0183728853848896	39.76
ENSG00000004866	276939	0.0235647561376331	39.15
ENSG00000004897	71720	0.0951477969882877	38.66
ENSG00000004939	19752	0.2594673957067638	55.79
ENSG00000004948	150245	0.0281007687443841	35.2
ENSG00000004961	11786	0.1987951807228915	42.97
ENSG00000004975	9176	0.5798823016564952	55.13
ENSG00000005001	5441	0.4557985664399926	59.35
ENSG00000005007	36272	0.2463056903396559	55.14
ENSG00000005020	328172	0.0163359457845276	36.94
ENSG00000005022	2975	0.5226890756302521	52.54
ENSG00000005059	128511	0.027663001610757	41.01
ENSG00000005073	4076	0.6548086359175662	54.37
ENSG00000005075	5795	0.1616911130284728	54.98
ENSG00000005100	28066	0.2062638067412527	45.78
ENSG00000005102	21534	0.1241757221138664	51.6
ENSG00000005108	461834	0.0236340330075308	35.51
ENSG00000005156	29232	0.441331417624521	47.21
ENSG00000005175	44782	0.1194676432495199	36.55
ENSG00000005187	187339	0.040087755352596	41.08
ENSG00000005189	43237	0.0950806022619515	39.89
ENSG00000005194	19234	0.1758864510762192	44.27
ENSG00000005206	26481	0.2801631358332389	61.04
ENSG00000005238	12230	0.5212591986917416	54.68
ENSG00000005243	11864	0.1572825354012137	52.71
ENSG00000005249	117107	0.1074316650584508	38.61
ENSG00000005302	17614	0.5552401498807766	42.85
ENSG00000005339	155660	0.0994410895541565	45.01
ENSG00000005379	27568	0.413123911781776	57.84
ENSG00000005381	11081	0.3995126793610685	55.12
ENSG00000005421	26857	0.09893137729456	40.31
ENSG00000005436	58986	0.0925982436510358	36.39
ENSG00000005448	4078	0.6993624325649829	54.68
ENSG00000005469	54131	0.0922761449077238	37.43
ENSG00000005471	78740	0.0981457962915925	38.6
ENSG00000005483	174077	0.0787237831534321	39.74
ENSG00000005486	46325	0.0515920129519697	47.79
ENSG00000005513	5536	1.0	65.75
ENSG00000005700	77769	0.1121140814463346	36.07
ENSG00000005801	39962	0.2930534007306941	41.43
ENSG00000005810	284621	0.1199033100157753	35.75
ENSG00000005812	34598	0.2045204925140181	38.36
ENSG00000005844	50910	0.1937536829699469	50.45
ENSG00000005882	17416	0.3141364262746899	56.67
ENSG00000005884	34514	0.2840006953699948	52.64
ENSG00000005889	67083	0.1347137128631695	40.77
ENSG00000005893	43218	0.2459160534962284	38.61
ENSG00000005961	17470	0.3259874069834001	54.81
ENSG00000005981	61790	0.0745428062793332	38.27
ENSG00000006007	20431	0.2148695609612843	40.14
ENSG00000006015	3653	0.9228031754722146	60.22
ENSG00000006016	35522	0.0835257023816226	55.32
ENSG00000006025	14432	0.4532289356984479	57.84
ENSG00000006042	17197	0.3016223759958132	48.47
ENSG00000006047	6377	0.7262035439862005	58.02
ENSG00000006059	4737	0.2750686088241503	48.39
ENSG00000006062	53911	0.1051362430672775	49.97
ENSG00000006071	84397	0.3229261703615057	50.03
ENSG00000006116	106078	0.0180716076849111	44.39
ENSG00000006118	12700	0.572755905511811	58.71
ENSG00000006125	148368	0.0511633236277364	39.93
ENSG00000006128	8389	0.2040767671951364	39.5
ENSG00000006194	37602	0.226956012978033	47.09
ENSG00000006210	12568	0.4742202418841502	53.75
ENSG00000006282	12795	0.4093005080109417	57.05
ENSG00000006283	66760	0.1507189934092271	56.94
ENSG00000006327	3939	0.4572226453414572	60.12
ENSG00000006377	5488	0.6277332361516035	49.51
ENSG00000006432	87009	0.1423530899102391	44.98
ENSG00000006451	84556	0.0423269785704148	39.66
ENSG00000006453	109441	0.0440511325737155	46.78
ENSG00000006459	92238	0.1016717621804462	39.15
ENSG00000006468	100197	0.0957314091240256	36.3
ENSG00000006530	103967	0.1028884165167793	39.57
ENSG00000006534	20705	0.3198261289543588	58.4
ENSG00000006555	21612	0.2827595780122154	52.34
ENSG00000006576	158731	0.0545892106771834	37.66
ENSG00000006606	20364	0.0345217049695541	48.09
ENSG00000006607	138557	0.1037190470347943	45.58
ENSG00000006611	50522	0.0970666244408376	51.78
ENSG00000006625	8221	0.1938936868994039	40.54
ENSG00000006634	33338	0.1378307037014818	36.72
ENSG00000006638	12369	0.2285552591155307	55.81
ENSG00000006652	58131	0.135934355163338	39.46
